Date,Adress,Size,Rooms,Broker,Rent,Price
2019126.0,Karlsviksgatan 8,25.0,1.0,Svensk Fastighetsförmedling Sthlm Kungsholmen,1198.0,2700000.0
2019126.0,Slipgatan 14,25.0,1.0,BOSTHLM Fastighetsmäklare AB,1521.0,2825000.0
2019125.0,Fleminggatan 26,22.2,1.0,Bostadsrättsspecialisten,884.0,2660000.0
2019125.0,Arvid Mörnes väg 48,24.0,1.0,Svenska Mäklarhuset Bromma,1614.0,1610000.0
2019124.0,Vittangigatan 16,23.0,1.0,HusmanHagberg Vällingby/Hässelby/Spånga,1631.0,1450000.0
2019124.0,Sysslomansgatan 24,24.0,1.0,Mäklarhuset Stockholm Innerstan,1230.0,2575000.0
2019124.0,Högalidsgatan 38B,23.5,1.0,BOSTHLM Fastighetsmäklare AB,1243.0,2795000.0
2019123.0,Nypongränd 4,22.0,1.0,Fastighetsbyrån Hägersten/Älvsjö,1051.0,2350000.0
2019123.0,Sicklingsvägen 5,25.0,1.0,ERA Enskede-Farsta kontoret,1602.0,2120000.0
2019123.0,Maria prästgårdsgata 4,25.0,1.0,BOSTHLM Fastighetsmäklare AB,1205.0,2760000.0
2019122.0,Brantingsgatan 25,21.0,1.0,Notar,1378.0,2600000.0
2019122.0,Vulcanusgatan 8,20.0,1.0,HusmanHagberg Vasastan,896.0,2730000.0
20191128.0,Gästrikegatan 7,20.0,1.0,Fastighetsbyrån Stockholm - Vasastan,1070.0,2800000.0
20191128.0,Gimmerstavägen 12,25.0,1.0,HusmanHagberg Älvsjö,1671.0,1700000.0
20191127.0,Folkskolegatan 3,24.0,1.0,Fastighetsbyrån Stockholm - Södermalm,1442.0,2550000.0
20191127.0,Kungsklippan 22,22.0,1.0,Fastighetsbyrån Stockholm - Kungsholmen,1759.0,2700000.0
20191127.0,Anders reimers väg 9,24.0,1.0,Svensk Fastighetsförmedling Sthlm Södermalm,1691.0,2510000.0
20191127.0,Bandhagsplan 9,23.0,1.0,Mäklarringen Farsta/Bandhagen,1874.0,1600000.0
20191127.0,Sankt Göransgatan 153,24.5,1.0,Mäklarhuset Essingen & Fredhäll,1165.0,2500000.0
20191127.0,Grevgatan 23A,23.0,1.0,Oscars Fastighetsmäkleri,1426.0,2825000.0
20191127.0,Kungsholmsgatan 9,23.0,1.0,BOSTHLM Fastighetsmäklare AB,1881.0,2500000.0
20191126.0,Storgatan 32,25.0,2.0,Fastighetsbyrån Stockholm – Östermalm,1651.0,3000000.0
20191126.0,Skeppargatan 11,24.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1474.0,3010000.0
20191122.0,Roslagsgatan 29A,24.0,1.0,Fastighetsbyrån Stockholm - Vasastan,1507.0,2900000.0
20191121.0,Sankt Göransgatan 153,24.5,1.0,Fastighetsbyrån Stockholm - Kungsholmen,1165.0,2600000.0
20191121.0,Klippgatan 14C,23.0,1.0,Svensk Fastighetsförmedling Hammarby Sjöstad,1347.0,2500000.0
20191121.0,Sysslomansgatan 24,24.0,1.0,Karlsson & Uddare AB,1231.0,2650000.0
20191120.0,Storgatan 32,25.0,2.0,Fastighetsbyrån Stockholm – Östermalm,1651.0,2940000.0
20191115.0,Sjöbjörnsvägen 11,20.0,1.0,Notar,1269.0,1950000.0
20191114.0,Bondegatan 55,21.0,1.0,Fastighetsbyrån Stockholm - Södermalm,1227.0,2525000.0
20191113.0,Doktor Widerströms gata 52,25.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Älvsjö-Fruängen,1671.0,2100000.0
20191113.0,Bergsundsgatan 13,23.5,1.0,HusmanHagberg Södermalm/Gamla Stan,1288.0,2550000.0
20191113.0,Slipgatan 5,22.0,1.0,Diplomat Fastighetmäkleri,1155.0,2450000.0
20191113.0,Bäckaskiftsvägen 11A,25.0,2.0,Bjurfors Enskede,1246.0,2150000.0
20191112.0,Sveavägen 122,23.0,1.0,Fastighetsbyrån Stockholm - Vasastan,1127.0,2640000.0
20191111.0,Erik Segersälls väg 13,21.0,1.0,Svensk Fastighetsförmedling Hägersten-Liljeholmen,1235.0,2000000.0
2019118.0,Rindögatan 40,25.0,1.0,Unik Fastighetsförmedling AB,1538.0,2890000.0
2019118.0,Rutger fuchsgatan 4,23.0,1.0,Svensk Fastighetsförmedling Sthlm Södermalm,1211.0,2650000.0
2019117.0,Essinge Brogata 22,24.0,1.0,Erik Olsson Fastighetsförmedling,1777.0,2200000.0
2019117.0,Atterbomsvägen 30,25.0,1.0,Svensk Fastighetsförmedling Sthlm Kungsholmen,1527.0,2580000.0
2019116.0,Valutavägen 25,20.0,1.0,Svensk Fastighetsförmedling Hägersten-Liljeholmen,1659.0,2000000.0
2019116.0,Sågargatan 17,22.0,1.0,Svensk Fastighetsförmedling Sthlm Södermalm,1673.0,2580000.0
2019115.0,Grafikvägen 22,21.0,1.0,Bostadsrättsspecialisten,1089.0,2150000.0
2019115.0,Edsbergsgränd 8,25.0,1.0,Länsförsäkringar Fastighetsförmedling Stockholm - Hägersten,1207.0,1895000.0
2019111.0,Rådmansgatan 46,22.0,1.0,BOSTHLM Fastighetsmäklare AB,1455.0,2500000.0
20191031.0,Wittstocksgatan 2,25.0,1.0,Wrede Fastighetsmäkleri,1569.0,3200000.0
20191030.0,Igeldammsgatan 38,23.0,1.0,Notar,1691.0,2500000.0
20191030.0,Skinnarviksringen 2,25.0,1.0,Notar,1924.0,2655000.0
20191030.0,Sandhamnsgatan 23,24.0,1.0,Eklund Stockholm New York,440.0,2700000.0
