Date,Adress,Size,Rooms,Broker,Rent,Price
2021056,Arvodesvägen 18,20,1,Unknown,1450,1850000
20190212,Arvodesvägen 20,20,1,Unknown,1315,1895000
20220916,Åsögatan 166,20,1,Unknown,846,3100000
20211014,Bällstavägen 18,20,1,Michelle Colegate,1446,1895000
20220830,Bällstavägen 203,20,1,Deisam Sulayman,2432,1595000
20190820,Bergsgatan 19,20,1,Angelica Hermansson,1076,2500000
2022084,Bergsgatan 45,20,1,Hampus Schöllin,1107,2700000
20220824,Bergsrådsvägen 8,20,1,Selma Fazlic,1632,1888000
2022105,Birger Jarlsgatan 104 G,20,1,Simon Hedlund,1467,2650000
20210815,Birger Jarlsgatan 104G,20,1,Emillio Afram,1497,2575000
20220319,Dalagatan 68A,20,1,Emma Rågberg fd Hjalmarsson,1159,2925000
2022091,Etsarvägen 2,20,1,Destiny Fröstad,1288,1980000
2019037,Fågelstavägen 24,20,1,Jim Ribe,1341,1675000
2022032,Folkungagatan 84,20,1,Unknown,795,2970000
2022128,Forsskålsgatan 16,20,1,Rebecka Svensk,1857,1850000
20190930,Garvargatan 22 5tr,20,1,Thilde Ångström,891,2550000
20220619,Gästrikegatan 7,20,1,Unknown,1070,2850000
20190411,Grev Turegatan 71,20,1,Unknown,938,2900000
20200523,Grevgatan 25B,20,1,Unknown,749,2920000
2020084,Guldsmedsvägen 5,20,1,Unknown,1472,1870000
20221026,Gyllenstiernsgatan 19,20,1,Unknown,1004,2700000
20210521,Hantverkargatan 28a,20,1,Daniel Berg,817,2780000
20200731,Högalidsgatan 34 D,20,1,Unknown,966,2500000
20211214,Högalidsgatan 34D,20,1,Unknown,942,3000000
20221021,Jarlaplan 4,20,1,Gabriel Bilir,780,3020000
20221017,Kronobergsgatan 20,20,1,Nathalie Jensen,1426,2750000
20221026,Krukmakargatan 38,20,1,Matilda Gustafson,2163,2450000
20210817,Kungstensgatan 67,20,1,Nicola Grez-Pancetti,1386,2865000
20210422,Maskrosstigen 8C,20,1,Unknown,855,2550000
20220831,Mörsilsgatan 6,20,1,Jonathan Bergstrand,1630,1250000
2021056,Nybohovsbacken 63,20,1,Alexander Shahin,1144,1950000
2022099,Odengatan 49,20,1,Unknown,363,2780000
2022015,Paternostervägen 66,20,1,Unknown,1188,2050000
20200428,Rehnsgatan 12 A,20,1,Unknown,1217,2580000
20221018,Robert Almströmsgatan 6,20,1,Unknown,1249,3000000
20191115,Sjöbjörnsvägen 11,20,1,Johanna Dahlerus,1269,1950000
2022096,Skälderviksplan 11,20,1,Unknown,2423,1800000
20220216,Skillinggränd 9,20,1,Unknown,1159,2790000
20220816,Tjärhovsgatan 22,20,1,Unknown,2011,2120000
20220518,Vindragarvägen 12,20,1,Unknown,1110,2475000
20221026,Gyllenborgsgatan 16. 1,20.5,1,Unknown,1100,2300000
2022066,Kungsbro Strand 19,20.5,1,Unknown,1739,2350000
20181212,Thorildsvägen 2,20.5,2,Unknown,1149,2530000
20210131,Anders Reimers väg 14,21,1,Unknown,1412,2450000
2022039,Bäckaskiftsvägen 17 A,21,1,Unknown,1100,1950000
20210624,Baltzar Von Platens Gata 7C,21,1,Mikael Bjérnhof,539,2580000
20220512,Bergsgatan 3,21,1,Unknown,1209,2950000
2022055,Birger Jarlsgatan 104 I,21,1,Unknown,1497,2790000
2020049,Birger Jarlsgatan 104 J,21,1,Anna Hoffman,1559,2395000
20221227,Birger Jarlsgatan 104A,21,1,Unknown,1524,2745000
2022115,Birger Jarlsgatan 104J,21,1,Emillio Afram,1467,2695000
20221020,Birger Jarlsgatan 104K,21,1,Unknown,1524,2650000
20191114,Bondegatan 55,21,1,Unknown,1227,2525000
20220220,Finn Malmgrens Väg 2 B,21,1,julia larsson,1417,2350000
20220615,Frejgatan 25A,21,1,Viktor Moberg,1074,2750000
20220314,Gjutargatan 4 A,21,1,Unknown,857,2500000
20210421,Grafikvägen 22,21,1,Josefin Uggla,1089,2050000
20200917,Grevgatan 47 A,21,1,Robin Nyvall,595,3250000
2022113,Hästholmsvägen 10,21,1,Andreas Peterson,1001,2100000
20220823,Heleneborgsgatan 24,21,1,Unknown,933,2650000
20210611,Heleneborgsgatan 9 A - egen ingång,21,1,Unknown,1265,2500000
20201013,Högalidsgatan 34C,21,1,Unknown,996,2500000
20200325,Hornsgatan 57,21,1,Unknown,389,2550000
2022052,Hornsgatan 57A,21,1,Unknown,389,2875000
20220617,Inedalsgatan 15,21,1,Nils Janemar,1503,3325000
2020107,Inteckningsvägen 13,21,1,Kim Ekholm,925,1825000
20210425,Isgränd 17,21,1,Unknown,1311,1900000
20221128,Isgränd 7,21,1,Unknown,1311,1680000
2022121,Karlavägen 90A,21,1,Unknown,1609,2765000
20201117,Kungsklippan 17 B,21,1,Jakob Jakobsson,808,2780000
20210330,Luntmakargatan 78,21,1,Unknown,989,2900000
20190125,Narvavägen 22,21,1,Unknown,808,2500000
20210512,Ringvägen 139,21,1,Unknown,1343,2650000
20221025,Robert Almströmsgatan 8,21,1,Alexander König,1187,2760000
20220114,Sparbanksvägen 14 lgh 1002,21,1,William Kajo,1400,1550000
20210422,Styrmansgatan 21A,21,1,Unknown,894,3100000
20210331,Styrmansgatan 35,21,1,Niklas Wellmér,1332,2810000
20210414,Svartensgatan 10,21,1,Unknown,1382,2725000
20221124,Timmermansgatan 13,21,1,Unknown,1502,2325000
2022123,Valhallavägen 47,21,1,Unknown,1312,2500000
20211010,Vattenledningsvägen 47,21,1,Alexandra Ekstrand,2082,2200000
20220930,Völundsgatan 10,21,1,Unknown,1711,2700000
20221014,Wollmar Yxkullsgatan 48A,21,1,Robin Nyvall,1377,2435000
20210119,Storsjövägen 34,21.2,1,Unknown,1192,1795000
20221123,Elias Lönnrots väg 5c,21.3,1,Tobias Willhardt,1846,1300000
20190715,Storsjövägen 38 A,21.3,1,Unknown,1209,2023500
2020114,Blackensvägen 57 C,21.4,1,Unknown,1522,2100000
2022113,Ringvägen 130,21.5,1,Unknown,1398,2175000
20220222,Tjurbergsgatan 32,21.5,1,Fredrik Flodin,1013,2970000
20220214,Älvkarleövägen 31,22,1,Caroline Hanell,1190,2600000
20210218,Anders Reimers Väg 4,22,1,Unknown,1440,2450000
20220518,Anders Reimers väg 4,22,1,Unknown,1732,2725000
2022033,Bagarfruvägen 3,22,1,Unknown,1366,1800000
20220920,Bondegatan 75 3tr,22,1,Unknown,798,2820000
2022028,Brahegatan 58,22,1,Unknown,1123,3325000
2020062,Bygärdesvägen 4,22,1,Unknown,1424,1330000
2021101,Bygärdesvägen 4 - Accepterat pris!,22,1,Unknown,1452,1225000
20210325,Bygärdesvägen 4A,22,1,Unknown,1452,1250000
20220323,Cedergrensvägen 16,22,1,Unknown,2555,1300000
2022074,Döbelnsgatan 58,22,1,Julia Larsson,857,2700000
2020055,Eklidsgränd 3C,22,1,Unknown,1202,1990000
2019123,Eklidsgränd 5C,22,1,Unknown,1202,2140000
20221021,Falugatan 19,22,1,Unknown,1374,2475000
