Date,Adress,Size,Rooms,Broker,Rent,Price,NearbyPOIs,Latitude,Longitude,PricePerKvm
2019126.0,Karlsviksgatan 8,25.0,1.0,Svensk Fastighetsförmedling Sthlm Kungsholmen,1198.0,2700000.0,523.0,59.329524579699104,18.028564453125,108000.0
2019126.0,Slipgatan 14,25.0,1.0,BOSTHLM Fastighetsmäklare AB,1521.0,2825000.0,378.0,59.3169129835029,18.02719116210937,113000.0
2019125.0,Fleminggatan 26,22.2,1.0,Bostadsrättsspecialisten,884.0,2660000.0,732.0,59.333727405256454,18.03817749023437,119820.0
2019125.0,Arvid Mörnes väg 48,24.0,1.0,Svenska Mäklarhuset Bromma,1614.0,1610000.0,31.0,59.34773306953446,17.874755859375,67083.0
2019124.0,Vittangigatan 16,23.0,1.0,HusmanHagberg Vällingby/Hässelby/Spånga,1631.0,1450000.0,35.0,59.36103310187028,17.87200927734375,63043.0
2019124.0,Sysslomansgatan 24,24.0,1.0,Mäklarhuset Stockholm Innerstan,1230.0,2575000.0,470.0,59.330925579315355,18.024444580078125,107292.0
2019124.0,Högalidsgatan 38B,23.5,1.0,BOSTHLM Fastighetsmäklare AB,1243.0,2795000.0,462.0,59.31831450306765,18.03680419921875,118936.0
2019123.0,Nypongränd 4,22.0,1.0,Fastighetsbyrån Hägersten/Älvsjö,1051.0,2350000.0,134.0,59.302894609713576,18.013458251953125,106818.0
2019123.0,Sicklingsvägen 5,25.0,1.0,ERA Enskede-Farsta kontoret,1602.0,2120000.0,22.0,59.2622086370172,18.08074951171875,84800.0
2019123.0,Maria prästgårdsgata 4,25.0,1.0,BOSTHLM Fastighetsmäklare AB,1205.0,2760000.0,1300.0,59.31621220205322,18.0670166015625,110400.0
2019122.0,Brantingsgatan 25,21.0,1.0,Notar,1378.0,2600000.0,261.0,59.34563258805997,18.095855712890625,123810.0
2019122.0,Vulcanusgatan 8,20.0,1.0,HusmanHagberg Vasastan,896.0,2730000.0,627.0,59.33863004470884,18.03817749023437,136500.0
20191128.0,Gästrikegatan 7,20.0,1.0,Fastighetsbyrån Stockholm - Vasastan,1070.0,2800000.0,697.0,59.34073095931448,18.03955078125,140000.0
20191128.0,Gimmerstavägen 12,25.0,1.0,HusmanHagberg Älvsjö,1671.0,1700000.0,35.0,59.28045318960789,18.03680419921875,68000.0
20191127.0,Folkskolegatan 3,24.0,1.0,Fastighetsbyrån Stockholm - Södermalm,1442.0,2550000.0,409.0,59.31761375050765,18.029937744140625,106250.0
20191127.0,Kungsklippan 22,22.0,1.0,Fastighetsbyrån Stockholm - Kungsholmen,1759.0,2700000.0,1200.0,59.33022508672785,18.046417236328125,122727.0
20191127.0,Anders reimers väg 9,24.0,1.0,Svensk Fastighetsförmedling Sthlm Södermalm,1691.0,2510000.0,364.0,59.319715964854154,18.024444580078125,104583.0
20191127.0,Bandhagsplan 9,23.0,1.0,Mäklarringen Farsta/Bandhagen,1874.0,1600000.0,23.0,59.26992867894222,18.050537109375,69565.0
20191127.0,Sankt Göransgatan 153,24.5,1.0,Mäklarhuset Essingen & Fredhäll,1165.0,2500000.0,256.0,59.337929710962655,18.01483154296875,102041.0
20191127.0,Grevgatan 23A,23.0,1.0,Oscars Fastighetsmäkleri,1426.0,2825000.0,984.0,59.333727405256454,18.084869384765625,122826.0
20191127.0,Kungsholmsgatan 9,23.0,1.0,BOSTHLM Fastighetsmäklare AB,1881.0,2500000.0,1300.0,59.33022508672785,18.04916381835937,108696.0
20191126.0,Storgatan 32,25.0,2.0,Fastighetsbyrån Stockholm – Östermalm,1651.0,3000000.0,760.0,59.333727405256454,18.087615966796875,120000.0
20191126.0,Skeppargatan 11,24.0,1.0,Fastighetsbyrån Stockholm – Östermalm,1474.0,3010000.0,1100.0,59.33302697043213,18.08212280273437,125417.0
