Date,Adress,Size,Rooms,Broker,Rent,Price,Datetime,PricePerKvm,NearbyPOIs,Latitude,Longitude
20220831,Mörsilsgatan 6,20,1,Jonathan Bergstrand,1630,1250000,2022-08-31,62500,30,59.3664034449979,17.8740692138672
20220830,Bällstavägen 203,20,1,Deisam Sulayman,2432,1595000,2022-08-30,79750,14,59.3559055007418,17.9097747802734
2019037,Fågelstavägen 24,20,1,Jim Ribe,1341,1675000,2019-03-07,83750,23,59.2704015360823,18.0471038818359
2022096,Skälderviksplan 11,20,1,Unknown,2423,1800000,2022-09-06,90000,145,59.298809892501,18.0333709716797
2022128,Forsskålsgatan 16,20,1,Rebecka Svensk,1857,1850000,2022-12-08,92500,465,59.2995110335101,18.0896759033203
2021056,Arvodesvägen 18,20,1,Unknown,1450,1850000,2021-05-06,92500,63,59.2991604648118,17.9832458496094
2020084,Guldsmedsvägen 5,20,1,Unknown,1472,1870000,2020-08-04,93500,125,59.2879403589468,18.0903625488281
20220824,Bergsrådsvägen 8,20,1,Selma Fazlic,1632,1888000,2022-08-24,94400,27,59.2760149423853,18.1288146972656
20211014,Bällstavägen 18,20,1,Michelle Colegate,1446,1895000,2021-10-14,94750,111,59.3604550086278,17.9578399658203
20190212,Arvodesvägen 20,20,1,Unknown,1315,1895000,2019-02-12,94750,65,59.2991604648118,17.9839324951172
20191115,Sjöbjörnsvägen 11,20,1,Johanna Dahlerus,1269,1950000,2019-11-15,97500,157,59.3166844749487,18.0079650878906
2021056,Nybohovsbacken 63,20,1,Alexander Shahin,1144,1950000,2021-05-06,97500,193,59.3086245517671,18.0155181884766
2022091,Etsarvägen 2,20,1,Destiny Fröstad,1288,1980000,2022-09-01,99000,478,59.2977581538934,18.0752563476563
2022015,Paternostervägen 66,20,1,Unknown,1188,2050000,2022-01-05,102500,99,59.2903950732364,18.1027221679688
20220816,Tjärhovsgatan 22,20,1,Unknown,2011,2120000,2022-08-16,106000,1100,59.3152828864145,18.0773162841797
20221026,Krukmakargatan 38,20,1,Matilda Gustafson,2163,2450000,2022-10-26,122500,850,59.3170348630541,18.0519104003906
20220518,Vindragarvägen 12,20,1,Unknown,1110,2475000,2022-05-18,123750,344,59.3187867494125,18.017578125
20190820,Bergsgatan 19,20,1,Angelica Hermansson,1076,2500000,2019-08-20,125000,1000,59.3296464299437,18.0429840087891
20200731,Högalidsgatan 34 D,20,1,Unknown,966,2500000,2020-07-31,125000,522,59.3184363793632,18.0388641357422
20190930,Garvargatan 22 5tr,20,1,Thilde Ångström,891,2550000,2019-09-30,127500,947,59.3285956447654,18.0416107177734
20210422,Maskrosstigen 8C,20,1,Unknown,855,2550000,2021-04-22,127500,22,59.2711032624704,17.9612731933594
20210815,Birger Jarlsgatan 104G,20,1,Emillio Afram,1497,2575000,2021-08-15,128750,1200,59.3475048070169,18.0628967285156
20200428,Rehnsgatan 12 A,20,1,Unknown,1217,2580000,2020-04-28,129000,1300,59.3433036805996,18.0601501464844
2022105,Birger Jarlsgatan 104 G,20,1,Simon Hedlund,1467,2650000,2022-10-05,132500,1200,59.3475048070169,18.0628967285156
2022084,Bergsgatan 45,20,1,Hampus Schöllin,1107,2700000,2022-08-04,135000,746,59.330346935344,18.0381774902344
20221026,Gyllenstiernsgatan 19,20,1,Unknown,1004,2700000,2022-10-26,135000,238,59.3380515416625,18.1006622314453
20221017,Kronobergsgatan 20,20,1,Nathalie Jensen,1426,2750000,2022-10-17,137500,604,59.3356002655423,18.0354309082031
20210521,Hantverkargatan 28a,20,1,Daniel Berg,817,2780000,2021-05-21,139000,1000,59.329296171828,18.0429840087891
20220216,Skillinggränd 9,20,1,Unknown,1159,2790000,2022-02-16,139500,1300,59.327895103261,18.0491638183594
20220619,Gästrikegatan 7,20,1,Unknown,1070,2850000,2022-06-19,142500,702,59.3408527834981,18.03955078125
20210817,Kungstensgatan 67,20,1,Nicola Grez-Pancetti,1386,2865000,2021-08-17,143250,1100,59.3391020344237,18.0491638183594
20200523,Grevgatan 25B,20,1,Unknown,749,2920000,2020-05-23,146000,995,59.3341994569121,18.0841827392578
20220319,Dalagatan 68A,20,1,Emma Rågberg fd Hjalmarsson,1159,2925000,2022-03-19,146250,934,59.3440039044291,18.0436706542969
20221018,Robert Almströmsgatan 6,20,1,Unknown,1249,3000000,2022-10-18,150000,547,59.3387518737797,18.0340576171875
20211214,Högalidsgatan 34D,20,1,Unknown,942,3000000,2021-12-14,150000,522,59.3184363793632,18.0388641357422
20221026,Gyllenborgsgatan 16. 1,20.5,1,Unknown,1100,2300000,2022-10-26,112195,334,59.3327985905208,18.0162048339844
2022066,Kungsbro Strand 19,20.5,1,Unknown,1739,2350000,2022-06-06,114634,1400,59.330346935344,18.050537109375
20181212,Thorildsvägen 2,20.5,2,Unknown,1149,2530000,2018-12-12,123415,349,59.3327985905208,18.0168914794922
20220114,Sparbanksvägen 14 lgh 1002,21,1,William Kajo,1400,1550000,2022-01-14,73810,58,59.2981087370418,17.9825592041016
20221128,Isgränd 7,21,1,Unknown,1311,1680000,2022-11-28,80000,36,59.2907457322538,17.9681396484375
2020107,Inteckningsvägen 13,21,1,Kim Ekholm,925,1825000,2020-10-07,86905,64,59.2917976876279,17.9853057861328
20210425,Isgränd 17,21,1,Unknown,1311,1900000,2021-04-25,90476,33,59.2907457322538,17.9667663574219
2022039,Bäckaskiftsvägen 17 A,21,1,Unknown,1100,1950000,2022-03-09,92857,25,59.2749624991807,18.050537109375
20210421,Grafikvägen 22,21,1,Josefin Uggla,1089,2050000,2021-04-21,97619,460,59.2974075671325,18.0766296386719
2022113,Hästholmsvägen 10,21,1,Andreas Peterson,1001,2100000,2022-11-03,100000,164,59.3121291009452,18.10546875
20211010,Vattenledningsvägen 47,21,1,Alexandra Ekstrand,2082,2200000,2021-10-10,104762,116,59.3026659892377,18.0093383789063
20221124,Timmermansgatan 13,21,1,Unknown,1502,2325000,2022-11-24,110714,1500,59.3187867494125,18.0594635009766
20220220,Finn Malmgrens Väg 2 B,21,1,julia larsson,1417,2350000,2022-02-20,111905,190,59.2949533586518,18.0979156494141
2020049,Birger Jarlsgatan 104 J,21,1,Anna Hoffman,1559,2395000,2020-04-09,114048,1200,59.3475048070169,18.0628967285156
20221014,Wollmar Yxkullsgatan 48A,21,1,Robin Nyvall,1377,2435000,2022-10-14,115952,877,59.3156332889651,18.0539703369141
20210131,Anders Reimers väg 14,21,1,Unknown,1412,2450000,2021-01-31,116667,375,59.3194874786778,18.0251312255859
2022123,Valhallavägen 47,21,1,Unknown,1312,2500000,2022-12-03,119048,1200,59.3478548774249,18.0663299560547
20210611,Heleneborgsgatan 9 A - egen ingång,21,1,Unknown,1265,2500000,2021-06-11,119048,496,59.3191371158507,18.0374908447266
20201013,Högalidsgatan 34C,21,1,Unknown,996,2500000,2020-10-13,119048,500,59.3184363793632,18.0381774902344
20220314,Gjutargatan 4 A,21,1,Unknown,857,2500000,2022-03-14,119048,454,59.3370010164131,18.028564453125
20190125,Narvavägen 22,21,1,Unknown,808,2500000,2019-01-25,119048,456,59.3359504586749,18.0917358398438
20191114,Bondegatan 55,21,1,Unknown,1227,2525000,2019-11-14,120238,627,59.3138812400984,18.0896759033203
20210624,Baltzar Von Platens Gata 7C,21,1,Mikael Bjérnhof,539,2580000,2021-06-24,122857,576,59.3296464299437,18.0313110351563
20221020,Birger Jarlsgatan 104K,21,1,Unknown,1524,2650000,2022-10-20,126190,1200,59.3475048070169,18.0628967285156
20210512,Ringvägen 139,21,1,Unknown,1343,2650000,2021-05-12,126190,828,59.3086245517671,18.0807495117188
20220823,Heleneborgsgatan 24,21,1,Unknown,933,2650000,2022-08-23,126190,519,59.3194874786778,18.0381774902344
2022115,Birger Jarlsgatan 104J,21,1,Emillio Afram,1467,2695000,2022-11-05,128333,1200,59.3475048070169,18.0628967285156
20210414,Svartensgatan 10,21,1,Unknown,1382,2725000,2021-04-14,129762,1400,59.3173852475481,18.0731964111328
20221227,Birger Jarlsgatan 104A,21,1,Unknown,1524,2745000,2022-12-27,130714,1200,59.3478548774249,18.0622100830078
20220615,Frejgatan 25A,21,1,Viktor Moberg,1074,2750000,2022-06-15,130952,1200,59.3475048070169,18.0580902099609
20221025,Robert Almströmsgatan 8,21,1,Alexander König,1187,2760000,2022-10-25,131429,547,59.3387518737797,18.0340576171875
2022121,Karlavägen 90A,21,1,Unknown,1609,2765000,2022-12-01,131667,391,59.3366508341103,18.0931091308594
20201117,Kungsklippan 17 B,21,1,Jakob Jakobsson,808,2780000,2020-11-17,132381,1300,59.330346935344,18.0464172363281
2022055,Birger Jarlsgatan 104 I,21,1,Unknown,1497,2790000,2022-05-05,132857,1200,59.3475048070169,18.0628967285156
20210331,Styrmansgatan 35,21,1,Niklas Wellmér,1332,2810000,2021-03-31,133810,777,59.3348998684472,18.0869293212891
20210422,Styrmansgatan 21A,21,1,Unknown,894,3100000,2021-04-22,147619,933,59.3338492457294,18.0855560302734
20200917,Grevgatan 47 A,21,1,Robin Nyvall,595,3250000,2020-09-17,154762,839,59.3363006481976,18.0862426757813
20220617,Inedalsgatan 15,21,1,Nils Janemar,1503,3325000,2022-06-17,158333,633,59.3352500687998,18.0361175537109
20210119,Storsjövägen 34,21.2,1,Unknown,1192,1795000,2021-01-19,84670,148,59.2984593165776,18.03955078125
20221123,Elias Lönnrots väg 5c,21.3,1,Tobias Willhardt,1846,1300000,2022-11-23,61033,34,59.3492551229662,17.8795623779297
20190715,Storsjövägen 38 A,21.3,1,Unknown,1209,2023500,2019-07-15,95000,147,59.2984593165776,18.0388641357422
2020114,Blackensvägen 57 C,21.4,1,Unknown,1522,2100000,2020-11-04,98131,57,59.2823289185772,17.9935455322266
2022113,Ringvägen 130,21.5,1,Unknown,1398,2175000,2022-11-03,101163,799,59.3082740769846,18.0821228027344
20220222,Tjurbergsgatan 32,21.5,1,Fredrik Flodin,1013,2970000,2022-02-22,138140,901,59.3107273246143,18.0718231201172
2021101,Bygärdesvägen 4 - Accepterat pris!,22,1,Unknown,1452,1225000,2021-10-01,55682,15,59.3800459182768,17.9166412353516
20221119,Hjulstavägen 92,22,1,Unknown,1568,1245000,2022-11-19,56591,72,59.3922844925499,17.9296875
20210325,Bygärdesvägen 4A,22,1,Unknown,1452,1250000,2021-03-25,56818,15,59.3803956531398,17.9166412353516
20220323,Cedergrensvägen 16,22,1,Unknown,2555,1300000,2022-03-23,59091,95,59.3026659892377,18.0017852783203
2021064,Hjulstavägen 92 vån 8,22,1,Unknown,1568,1300000,2021-06-04,59091,72,59.3922844925499,17.9296875
2020062,Bygärdesvägen 4,22,1,Unknown,1424,1330000,2020-06-02,60455,15,59.3800459182768,17.9166412353516
20200910,Sjösabrinken 7A,22,1,Unknown,1233,1450000,2020-09-10,65909,23,59.265489046536,18.0416107177734
20221017,Rörläggarvägen 15,22,1,Malin Klebe,1275,1700000,2022-10-17,77273,32,59.329996684449,17.9489135742188
20220917,Ståltrådsvägen 8,22,1,Hevrê Yildiz,1576,1725000,2022-09-17,78409,120,59.3457544008388,17.9729461669922
2022033,Bagarfruvägen 3,22,1,Unknown,1366,1800000,2022-03-03,81818,31,59.256714981523,18.1075286865234
20220412,Ljusstöparbacken 9A,22,1,Johanna Dahlerus,1343,1800000,2022-04-12,81818,171,59.3145820704793,18.0100250244141
2020055,Eklidsgränd 3C,22,1,Unknown,1202,1990000,2020-05-05,90455,29,59.2352967789688,18.0889892578125
20220121,Ljusstöparbacken 5C,22,1,Nicklas Talvitie,1343,2040000,2022-01-21,92727,184,59.3145820704793,18.0113983154297
20220822,Svandammsvägen 3,22,1,Unknown,1714,2100000,2022-08-22,95455,172,59.3016143698395,18.0155181884766
2019123,Eklidsgränd 5C,22,1,Unknown,1202,2140000,2019-12-03,97273,29,59.2352967789688,18.0889892578125
20220530,Pingstvägen 34,22,1,Unknown,1654,2150000,2022-05-30,97727,93,59.3016143698395,17.9969787597656
20221014,Kammakargatan 18,22,1,Unknown,2150,2250000,2022-10-14,102273,1500,59.3391020344237,18.0622100830078
20220113,Sofielundsplan 57,22,1,Unknown,1418,2250000,2022-01-13,102273,128,59.2889924010356,18.0903625488281
