Date,Adress,Size,Rooms,Broker,Rent,Price
20220329,Adolfsbergsvägen 12,20,1,"Malou
Maxe",1906,1875000
20220329,Adolfsbergsvägen 12,20,1,"Mathias
Odehag",1906,1850000
20210811,Adolfsbergsvägen 12,20,1,"Gabriel
Youhanoun",1588,1715000
20200818,Adolfsbergsvägen 12,20,1,"Hevrê
Yildiz",1588,1850000
20200228,Adolfsbergsvägen 12,20,1,"Caroline
Hanell",1588,1948000
2019051,Adolfsbergsvägen 12,20,1,"Hevrê
Yildiz",1588,1760000
20190228,Adolfsbergsvägen 12,20,1,"Jan
Sulocki",1777,1525000
20200610,Alströmergatan 49,20,1,Unknown,1432,2300000
20190919,Alströmergatan 49,20,1,"Alexander
König",1482,2400000
2021056,Arvodesvägen 18,20,1,Unknown,1450,1850000
20210120,Arvodesvägen 18,20,1,Unknown,1315,1850000
20190822,Arvodesvägen 18,20,1,Unknown,1450,2020000
20190510,Arvodesvägen 18,20,1,"Rasmus
Vedin",1450,1800000
20190212,Arvodesvägen 20,20,1,Unknown,1315,1895000
20220916,Åsögatan 166,20,1,Unknown,846,3100000
20201029,Åsögatan 166,20,1,Unknown,771,3200000
2022022,Bäckaskiftsvägen 11A,20,1,"Jeanette
Giörtz",1204,1925000
2021098,Bäckaskiftsvägen 11A,20,1,"Jeanette
Giörtz",1146,1920000
20210630,Bäckaskiftsvägen 11A,20,1,"Henrik
Ivansson",1181,1900000
20190510,Bäckaskiftsvägen 11A,20,1,"Jane
Keding",1146,1970000
20190429,Bäckaskiftsvägen 11A,20,1,"Jane
Keding",1146,1970000
20190526,Bäckaskiftsvägen 17 A,20,1,"Jane
Keding",1146,1970000
2022074,Bäckvägen 131,20,1,Unknown,1600,1950000
20220810,Bäckvägen 133,20,1,Unknown,1600,2160000
20211014,Bällstavägen 18,20,1,"Michelle
Colegate",1446,1895000
20220830,Bällstavägen 203,20,1,"Deisam
Sulayman",2432,1595000
20201128,Bällstavägen 203,20,1,"Joel
Beck-Friis",2432,1565000
2020108,Bällstavägen 203,20,1,"Joel
Beck-Friis",2432,1560000
20190820,Bergsgatan 19,20,1,"Angelica
Hermansson",1076,2500000
2022084,Bergsgatan 45,20,1,"Hampus
Schöllin",1107,2700000
20220824,Bergsrådsvägen 8,20,1,"Selma
Fazlic",1632,1888000
20210923,Bergsrådsvägen 8,20,1,"Pontus
Palmén",1632,1850000
20200624,Bergsrådsvägen 8,20,1,Unknown,1632,1940000
20190411,Bergsrådsvägen 8,20,1,Unknown,1632,1830000
20210331,Bergsunds Strand 3,20,1,Unknown,286,2640000
2022105,Birger Jarlsgatan 104 G,20,1,"Simon
Hedlund",1467,2650000
2021098,Birger Jarlsgatan 104 G,20,1,Unknown,1528,2500000
20210815,Birger Jarlsgatan 104G,20,1,"Emillio
Afram",1497,2575000
20191030,Bjurholmsplan 23,20,1,Unknown,1325,2570000
20210915,Brännkyrkagatan 92,20,1,Unknown,1586,2500000
2022031,Burspråksvägen 2,20,1,Unknown,1294,2050000
20220319,Dalagatan 68A,20,1,"Emma
Rågberg fd Hjalmarsson",1159,2925000
20210427,Erik Dahlbergsgatan 52,20,1,Unknown,1029,2450000
2021062,Erstagatan 26,20,1,"Adrian
Pekul",1154,2400000
2022091,Etsarvägen 2,20,1,"Destiny
Fröstad",1288,1980000
20220818,Etsarvägen 2,20,1,"Destiny
Fröstad",1278,1900000
2021069,Etsarvägen 2,20,1,Unknown,1288,1700000
2020043,Etsarvägen 2,20,1,Unknown,1206,1820000
20190315,Fågelstavägen 20,20,1,Unknown,1381,1705000
2019037,Fågelstavägen 24,20,1,"Jim
Ribe",1341,1675000
20211028,Fleminggatan 54,20,1,"Christopher
Olsen",589,2600000
20200915,Fleminggatan 54,20,1,Unknown,589,2650000
2021082,Fleminggatan 83,20,1,"Erin
Kiruk",230,2930000
20190724,Fleminggatan 83,20,1,Unknown,230,2900000
20210818,Folkskolegatan 6,20,1,Unknown,1743,2450000
2022032,Folkungagatan 84,20,1,Unknown,795,2970000
2022128,Forsskålsgatan 16,20,1,"Rebecka
Svensk",1857,1850000
20211028,Forsskålsgatan 16,20,1,Unknown,1857,2075000
2020094,Forsskålsgatan 16,20,1,"Johan
Granath",1857,2090000
20200311,Forsskålsgatan 16,20,1,"Johan
Granath",1838,1800000
20190916,Forsskålsgatan 16,20,1,"julia
larsson",1688,2000000
2019079,Forsskålsgatan 16,20,1,Unknown,1857,2060000
20190321,Fredhällsgatan 9,20,1,"Angelica
Hermansson",954,2140000
2022077,Furusundsgatan 2,20,1,"Malin
Sjöblom",1462,2240000
20210521,Furusundsgatan 2,20,1,"Sandra
Hansson",1528,2350000
20210411,Furusundsgatan 2,20,1,Unknown,1392,2025000
20190930,Garvargatan 22 5tr,20,1,"Thilde
Ångström",891,2550000
20220619,Gästrikegatan 7,20,1,Unknown,1070,2850000
20191128,Gästrikegatan 7,20,1,Unknown,1070,2800000
20190411,Grev Turegatan 71,20,1,Unknown,938,2900000
20200523,Grevgatan 25B,20,1,Unknown,749,2920000
2020084,Guldsmedsvägen 5,20,1,Unknown,1472,1870000
20221026,Gyllenstiernsgatan 19,20,1,Unknown,1004,2700000
20211012,Gyllenstiernsgatan 19,20,1,Unknown,1004,2650000
20210521,Hantverkargatan 28a,20,1,"Daniel
Berg",817,2780000
2021053,Hantverkargatan 46,20,1,Unknown,1000,2749000
20211210,Hästholmsvägen 10,20,1,Unknown,906,2300000
20200210,Hästholmsvägen 10,20,1,Unknown,952,2010000
20210428,Heleneborgsgatan 9A,20,1,Unknown,1226,2650000
